tf,celltype_or_cluster,expected_higher_group_main,main_regulon,n_lesion,n_internal_control,mean_log1p_norm_expr_lesion,mean_log1p_norm_expr_internal_control,positive_fraction_lesion,positive_fraction_internal_control,log2fc_lesion_vs_internal_control,mannwhitney_u,p_value,direction_consistent_with_main,fdr_bh
SOX2,cluster_5,lesion,SOX2(+),1426,2039,0.029179191623782113,0.022598776934624972,0.08976157082748948,0.03089749877390878,-0.05965238348058987,1536591.0,5.092725948577886e-13,False,2.5926604829123782e-12
SOX2,cluster_29,lesion,SOX2(+),132,446,0.4890011602602935,0.27384822227739297,0.553030303030303,0.3094170403587444,0.848587443239074,36491.0,1.2187019524140678e-06,True,3.7915171852882106e-06
SOX2,cluster_14,lesion,SOX2(+),685,1438,0.09350401580776685,0.057300413491151385,0.1897810218978102,0.056328233657858134,0.1962383626067768,554746.5,1.1022855260090295e-19,True,9.496613762539331e-19
SOX2,cluster_8,lesion,SOX2(+),64,3136,0.37270367864140147,0.40916575452377557,0.234375,0.22704081632653061,-0.336810641983861,99775.5,0.9145663882380504,False,0.9311948680241967
SOX2,cluster_31,lesion,SOX2(+),90,206,0.29979635776667746,0.2597983804627494,0.2777777777777778,0.20388349514563106,0.05394999571954447,9833.0,0.2571230281458199,True,0.369202296824767
SOX2,cluster_30,lesion,SOX2(+),226,273,0.04072156446956713,0.015108043508642829,0.03982300884955752,0.01098901098901099,1.4742624544201377,31733.0,0.0378538940337963,True,0.07066060219641976
SOX2,cluster_22,lesion,SOX2(+),1372,37,0.10304478156027294,0.06522572961336026,0.08454810495626822,0.08108108108108109,0.9913759007956521,25556.0,0.8828902416309009,True,0.9155898802098231
SOX2,cluster_0,lesion,SOX2(+),2105,2721,0.1747437823017223,0.0902371535413684,0.1021377672209026,0.04373392135244395,0.8952034845358375,3027282.5,1.00642538709342e-14,True,5.635982167723152e-14
SOX2,cluster_32,lesion,SOX2(+),84,128,0.3457244839799353,0.31152715536840103,0.42857142857142855,0.296875,-0.04483768718394186,5808.0,0.24577242547028288,False,0.35748716432041144
SOX2,cluster_27,lesion,SOX2(+),372,423,0.03450624309116345,0.01901632228036127,0.11559139784946236,0.030732860520094562,0.5372406209457895,85192.0,5.499808584569277e-06,True,1.6209962143993658e-05
SOX2,cluster_13,lesion,SOX2(+),2157,167,0.4285319230010344,0.36254135902287643,0.35095039406583217,0.2634730538922156,0.05584038693196285,192387.0,0.08298288664479354,True,0.140819444003286
SOX2,cluster_15,lesion,SOX2(+),747,1342,0.035699113940413564,0.01913913842789141,0.0749665327978581,0.040238450074515646,0.7573875180210653,518658.0,0.00065839497894534,True,0.001603048644388654
SOX2,cluster_19,lesion,SOX2(+),727,721,0.2957046175601492,0.22441809579314276,0.33837689133425036,0.14147018030513175,-0.26553128630241357,305101.0,5.385185765089075e-13,False,2.622351329086854e-12
SOX2,cluster_25,lesion,SOX2(+),529,607,0.08011714264737127,0.06117687176432498,0.07750472589792061,0.04612850082372323,0.06586105463409522,165442.0,0.03223147113533096,True,0.061185165545035045
SOX2,cluster_24,lesion,SOX2(+),1183,87,0.3891054364724509,0.3414931911764379,0.2603550295857988,0.2413793103448276,0.39344668102150726,52662.5,0.6365860849821523,True,0.7275269542653169
SOX2,cluster_12,lesion,SOX2(+),1692,659,0.6769768715352638,0.49999609584634724,0.6589834515366431,0.38391502276176026,0.1023319050669406,668623.5,5.875674765964734e-15,True,3.463555651516054e-14
SOX2,cluster_11,lesion,SOX2(+),1765,653,0.04930467009104358,0.04284863578584301,0.041926345609065156,0.026033690658499236,-0.4056273268870931,585094.5,0.0792044922513023,False,0.13647543280224395
SOX2,cluster_23,lesion,SOX2(+),1261,49,0.3502209950015159,0.4912395837444609,0.2735923869944489,0.46938775510204084,-0.20892529044525046,26091.0,0.019678832255116588,False,0.04007325841041924
SOX2,cluster_20,lesion,SOX2(+),1415,31,0.0451906592712426,0.07899967823212657,0.12932862190812722,0.1935483870967742,-0.6530632760116197,20290.0,0.2228890074548593,False,0.33364707870544613
