tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Transforming Growth Factor Beta2 Production (GO:0032909),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,SMAD4;TGFB2,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Serine Transport (GO:0032329),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,SLC1A4;SLC38A2,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,White Fat Cell Differentiation (GO:0050872),245,6,2,0.00816326530612245,49.797278911564625,0.0006576168196350858,CTBP2;PPARG,0.007916694790222379
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of miRNA Transcription (GO:1902893),245,59,4,0.0163265306122449,10.128260117606365,0.0006679311326104635,NR3C1;PPARG;REST;TGFB2,0.007989647560779939
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Proteasomal Protein Catabolic Process (GO:0010498),245,217,7,0.02857142857142857,4.81909150757077,0.0006859169782110917,CSNK1A1;CUL3;FBXO9;NFE2L2;PSMA1;RHOBTB3;ZNRF2,0.00811898707930684
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Cellular Response To Xenobiotic Stimulus (GO:0071466),245,26,3,0.012244897959183673,17.237519623233908,0.0006873902798774162,PDE4B;REST;TFRC,0.00811898707930684
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,BMP Signaling Pathway (GO:0030509),245,60,4,0.0163265306122449,9.959455782312926,0.0007119129705559599,HIVEP1;PPARG;SMAD4;TGFB2,0.00835607849190058
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874),245,105,5,0.02040816326530612,7.113896987366375,0.000722946337389991,MAP3K4;SASH1;SDCBP;TAOK3;TGFB2,0.008432877152909335
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),245,357,9,0.036734693877551024,3.766180758017493,0.0007303921008956811,EZR;MITF;NFE2L2;PPARG;RBPJ;RDX;SLC38A2;SPRY2;TFRC,0.008467138058531415
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of Cell Motility (GO:2000147),245,220,7,0.02857142857142857,4.7533766233766235,0.0007435049788720771,MAP4K4;PDGFC;PRKCA;RDX;SDCBP;SPAG9;SPRY2,0.008514038721474151
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Protein Polyubiquitination (GO:0000209),245,220,7,0.02857142857142857,4.7533766233766235,0.0007435049788720771,ANAPC10;CUL3;FBXO9;SASH1;TPP2;UBE2E1;ZNRF2,0.008514038721474151
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393),245,61,4,0.0163265306122449,9.796186015389763,0.0007579043001920702,PPARG;SDCBP;SMAD4;TGFB2,0.008626328944004289
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Chromatin Remodeling (GO:0006338),245,222,7,0.02857142857142857,4.710553410553411,0.0007839758029152892,ARID2;BAZ1A;BAZ2B;CHD1;CHD2;REST;SS18,0.008869316613704296
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Fat Cell Differentiation (GO:0045444),245,62,4,0.0163265306122449,9.638183015141541,0.0008059554655385656,CTBP2;NR4A2;PPARG;ZNF516,0.009063379426834887
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),245,363,9,0.036734693877551024,3.7039298363973687,0.0008213183351228327,CSNK1A1;CUL3;FBXO9;NFE2L2;PSMA1;RHOBTB3;RNF13;UBE2E1;ZNRF2,0.009181165674765951
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Platelet Activation (GO:0010543),245,28,3,0.012244897959183673,16.00626822157434,0.0008576057337370015,LYN;PRKCA;SYK,0.009530080283775675
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of Cysteine-Type Endopeptidase Activity (GO:2001056),245,64,4,0.0163265306122449,9.336989795918369,0.0009084389326166469,ASPH;REST;SYK;UACA,0.009725250662658221
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Arginine Catabolic Process (GO:0006527),245,7,2,0.00816326530612245,42.68338192419825,0.0009165971071834426,DDAH1;OAT,0.009725250662658221
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Cellular Response To Angiotensin (GO:1904385),245,7,2,0.00816326530612245,42.68338192419825,0.0009165971071834426,NFKB1;SLC30A10,0.009725250662658221
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Negative Regulation Of Muscle Hypertrophy (GO:0014741),245,7,2,0.00816326530612245,42.68338192419825,0.0009165971071834426,RGS2;SMAD4,0.009725250662658221
