gene,mean_lesion,mean_internal_control,positive_fraction_lesion,positive_fraction_internal_control,log2fc_lesion_vs_internal_control,abs_log2fc,direction,positive_fraction_higher_group
BTRC,0.9234234234234251,0.9449093444909327,0.4729729729729696,0.5006973500697263,-0.03318359434845854,0.03318359434845854,internal_control,0.5006973500697263
DPCD,0.07094594594594601,0.04811715481171549,0.0664414414414415,0.04602510460251046,0.5601688994257111,0.5601688994257111,lesion,0.0664414414414415
POLL,0.06756756756756763,0.06834030683403072,0.06418918918918924,0.06345885634588568,-0.016405805913459855,0.016405805913459855,internal_control,0.06345885634588568
FBXW4,0.3051801801801793,0.3075313807531375,0.21621621621621545,0.23779637377963786,-0.011072361815709334,0.011072361815709334,internal_control,0.23779637377963786
AC010789.2,0.010135135135135136,0.014644351464435146,0.010135135135135136,0.01394700139470014,-0.5309789351542035,0.5309789351542035,internal_control,0.01394700139470014
AC010789.1,0.0,0.000697350069735007,0.0,0.000697350069735007,-19.41152561410756,19.41152561410756,internal_control,0.000697350069735007
FGF8,0.0,0.000697350069735007,0.0,0.000697350069735007,-19.41152561410756,19.41152561410756,internal_control,0.000697350069735007
NPM3,0.021396396396396393,0.016736401673640166,0.021396396396396393,0.016736401673640166,0.3543784363002107,0.3543784363002107,lesion,0.021396396396396393
OGA,0.7781531531531547,0.8200836820083662,0.4504504504504473,0.4748953974895319,-0.0757170020015066,0.0757170020015066,internal_control,0.4748953974895319
KCNIP2-AS1,0.019144144144144143,0.01603905160390516,0.019144144144144143,0.01603905160390516,0.25531431295582624,0.25531431295582624,lesion,0.019144144144144143
KCNIP2,0.05180180180180183,0.05718270571827058,0.04166666666666668,0.050209205020920515,-0.14257660358855406,0.14257660358855406,internal_control,0.050209205020920515
ARMH3,0.44932432432432273,0.4811715481171507,0.2961711711711696,0.32287308228730605,-0.09879417287886612,0.09879417287886612,internal_control,0.32287308228730605
HPS6,0.013513513513513516,0.00906555090655509,0.013513513513513516,0.00906555090655509,0.5759361725509403,0.5759361725509403,lesion,0.013513513513513516
LDB1,0.05743243243243247,0.05299860529986055,0.05405405405405409,0.05160390516039053,0.11591126877819855,0.11591126877819855,lesion,0.05405405405405409
PPRC1,0.03378378378378377,0.04672245467224548,0.03265765765765765,0.045327754532775454,-0.46778514067166344,0.46778514067166344,internal_control,0.045327754532775454
NOLC1,0.08333333333333341,0.07740585774058585,0.07995495495495504,0.07252440725244079,0.10645094030492287,0.10645094030492287,lesion,0.07995495495495504
ELOVL3,0.0,0.000697350069735007,0.0,0.000697350069735007,-19.41152561410756,19.41152561410756,internal_control,0.000697350069735007
PITX3,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
GBF1,0.45608108108107903,0.5251046025104559,0.31644144144143965,0.36262203626219996,-0.2033145141323374,0.2033145141323374,internal_control,0.36262203626219996
NFKB2,0.011261261261261262,0.01394700139470014,0.011261261261261262,0.012552301255230125,-0.30858653297811783,0.30858653297811783,internal_control,0.012552301255230125
PSD,0.19594594594594553,0.33542538354253715,0.15653153153153138,0.2587168758716878,-0.7755361425078843,0.7755361425078843,internal_control,0.2587168758716878
FBXL15,0.09909909909909922,0.07810320781032087,0.08671171171171181,0.07531380753138082,0.34349013501794745,0.34349013501794745,lesion,0.08671171171171181
CUEDC2,0.10698198198198211,0.06834030683403074,0.09572072072072084,0.0655509065550907,0.6465591989424853,0.6465591989424853,lesion,0.09572072072072084
RPARP-AS1,0.030405405405405393,0.03626220362622035,0.028153153153153143,0.032775453277545295,-0.2541387659622786,0.2541387659622786,internal_control,0.032775453277545295
C10orf95,0.0022522522522522522,0.002789400278940028,0.0022522522522522522,0.002789400278940028,-0.3085864342978246,0.3085864342978246,internal_control,0.002789400278940028
MFSD13A,0.049549549549549585,0.06834030683403072,0.04279279279279281,0.06415620641562068,-0.463864775120359,0.463864775120359,internal_control,0.06415620641562068
ACTR1A,0.1475225225225225,0.16039051603905186,0.13063063063063074,0.13598326359832658,-0.12065360627052873,0.12065360627052873,internal_control,0.13598326359832658
AL121928.1,0.0011261261261261261,0.001394700139470014,0.0011261261261261261,0.001394700139470014,-0.3085863109475471,0.3085863109475471,internal_control,0.001394700139470014
SUFU,0.16779279279279274,0.2524407252440729,0.13175675675675685,0.19665271966527234,-0.5892639213861578,0.5892639213861578,internal_control,0.19665271966527234
TRIM8,0.20270270270270224,0.13249651324965153,0.17792792792792755,0.1213389121338914,0.6134109265792645,0.6134109265792645,lesion,0.17792792792792755
AL391121.1,0.007882882882882882,0.011854951185495118,0.007882882882882882,0.011157601115760111,-0.5886944155203422,0.5886944155203422,internal_control,0.011157601115760111
ARL3,0.2601351351351344,0.21548117154811758,0.21396396396396322,0.1847977684797772,0.2716994547141943,0.2716994547141943,lesion,0.21396396396396322
SFXN2,0.04166666666666668,0.0411436541143654,0.03941441441441442,0.038354253835425366,0.018223758178763757,0.018223758178763757,lesion,0.03941441441441442
WBP1L,0.20382882882882838,0.24965132496513298,0.1745495495495492,0.20362622036262243,-0.2925564465301247,0.2925564465301247,internal_control,0.20362622036262243
CYP17A1,0.0022522522522522522,0.0,0.0022522522522522522,0.0,21.10293762819261,21.10293762819261,lesion,0.0022522522522522522
AL358790.1,0.01238738738738739,0.00906555090655509,0.011261261261261262,0.008368200836820083,0.45040530017248376,0.45040530017248376,lesion,0.011261261261261262
BORCS7,0.14977477477477474,0.10878661087866123,0.13063063063063074,0.09902370990237112,0.46129365536147104,0.46129365536147104,lesion,0.13063063063063074
AS3MT,0.06981981981981988,0.06066945606694563,0.06418918918918924,0.0571827057182706,0.20266625377346834,0.20266625377346834,lesion,0.06418918918918924
AL356608.3,0.014639639639639643,0.013249651324965132,0.014639639639639643,0.013249651324965132,0.14392563671096556,0.14392563671096556,lesion,0.014639639639639643
AL356608.1,0.0011261261261261261,0.000697350069735007,0.0011261261261261261,0.000697350069735007,0.6914126546412209,0.6914126546412209,lesion,0.0011261261261261261
CNNM2,0.5033783783783771,0.6541143654114339,0.3029279279279263,0.3947001394700091,-0.37789964831980294,0.37789964831980294,internal_control,0.3947001394700091
NT5C2,0.8063063063063077,0.7329149232914901,0.43806306306306003,0.46164574616456727,0.13768226547471357,0.13768226547471357,lesion,0.43806306306306003
RPEL1,0.0011261261261261261,0.000697350069735007,0.0011261261261261261,0.000697350069735007,0.6914126546412209,0.6914126546412209,lesion,0.0011261261261261261
INA,0.1441441441441442,0.14156206415620665,0.11599099099099115,0.1213389121338914,0.02607752498406281,0.02607752498406281,lesion,0.11599099099099115
PCGF6,0.09684684684684694,0.20990237099023748,0.08671171171171181,0.1778242677824271,-1.1159414716823133,1.1159414716823133,internal_control,0.1778242677824271
TAF5,0.023648648648648643,0.024407252440725224,0.023648648648648643,0.02370990237099022,-0.04555214991829318,0.04555214991829318,internal_control,0.02370990237099022
